cash,bus,week,crimes,my
0,1,0,9,12005
0,1,1,4,12005
0,1,2,9,12005
0,1,3,6,12005
0,1,4,12,12005
0,1,5,6,22005
0,1,6,5,22005
0,1,7,7,22005
0,1,8,7,22005
0,1,9,9,32005
0,1,10,13,32005
0,1,11,16,32005
0,1,12,12,32005
0,1,13,17,42005
0,1,14,14,42005
0,1,15,15,42005
0,1,16,11,42005
0,1,17,8,42005
0,1,18,8,52005
0,1,19,8,52005
0,1,20,14,52005
0,1,21,11,52005
0,1,22,9,62005
0,1,23,9,62005
0,1,24,10,62005
0,1,25,10,62005
0,1,26,18,72005
0,1,27,17,72005
0,1,28,11,72005
0,1,29,9,72005
0,1,30,20,72005
0,1,31,22,82005
0,1,32,12,82005
0,1,33,13,82005
0,1,34,18,82005
0,1,35,13,92005
0,1,36,13,92005
0,1,37,9,92005
0,1,38,14,92005
0,1,39,24,102005
0,1,40,15,102005
0,1,41,22,102005
0,1,42,14,102005
0,1,43,22,102005
0,1,44,19,112005
0,1,45,18,112005
0,1,46,23,112005
0,1,47,12,112005
0,1,48,12,122005
0,1,49,25,122005
0,1,50,7,122005
0,1,51,14,122005
0,1,52,13,122005
0,1,53,13,12006
0,1,54,11,12006
0,1,55,10,12006
0,1,56,11,12006
0,1,57,4,22006
0,1,58,10,22006
0,1,59,11,22006
0,1,60,13,22006
0,1,61,23,32006
0,1,62,21,32006
0,1,63,16,32006
0,1,64,10,32006
0,1,65,20,42006
0,1,66,16,42006
0,1,67,16,42006
0,1,68,18,42006
0,1,69,9,42006
0,1,70,16,52006
0,1,71,13,52006
0,1,72,15,52006
0,1,73,13,52006
0,1,74,14,62006
0,1,75,14,62006
0,1,76,12,62006
0,1,77,14,62006
0,1,78,22,72006
0,1,79,9,72006
0,1,80,10,72006
0,1,81,14,72006
0,1,82,10,72006
0,1,83,13,82006
0,1,84,13,82006
0,1,85,12,82006
0,1,86,21,82006
0,1,87,15,92006
0,1,88,19,92006
0,1,89,9,92006
0,1,90,12,92006
0,1,91,13,92006
0,1,92,12,102006
0,1,93,20,102006
0,1,94,24,102006
0,1,95,21,102006
0,1,96,22,112006
0,1,97,13,112006
0,1,98,22,112006
0,1,99,18,112006
0,1,100,13,122006
0,1,101,12,122006
0,1,102,18,122006
0,1,103,12,122006
0,1,104,8,122006
0,1,105,7,12007
0,1,106,9,12007
0,1,107,8,12007
0,1,108,8,12007
0,1,109,15,22007
0,1,110,7,22007
0,1,111,8,22007
0,1,112,9,22007
0,1,113,6,32007
0,1,114,9,32007
0,1,115,13,32007
0,1,116,8,32007
0,1,117,12,32007
0,1,118,8,42007
0,1,119,10,42007
0,1,120,18,42007
0,1,121,9,42007
0,1,122,16,52007
0,1,123,12,52007
0,1,124,11,52007
0,1,125,11,52007
0,1,126,13,62007
0,1,127,14,62007
0,1,128,8,62007
0,1,129,11,62007
0,1,130,10,62007
0,1,131,11,72007
0,1,132,7,72007
0,1,133,11,72007
0,1,134,12,72007
0,1,135,16,82007
0,1,136,17,82007
0,1,137,13,82007
0,1,138,13,82007
0,1,139,13,92007
0,1,140,13,92007
0,1,141,13,92007
0,1,142,14,92007
0,1,143,17,92007
0,1,144,19,102007
0,1,145,8,102007
0,1,146,18,102007
0,1,147,14,102007
0,1,148,18,112007
0,1,149,13,112007
0,1,150,21,112007
0,1,151,26,112007
0,1,152,17,122007
0,1,153,11,122007
0,1,154,8,122007
0,1,155,7,122007
0,1,156,9,122007
0,1,157,15,12008
0,1,158,16,12008
0,1,159,14,12008
0,1,160,9,12008
0,1,161,9,22008
0,1,162,12,22008
0,1,163,2,22008
0,1,164,12,22008
0,1,165,13,32008
0,1,166,19,32008
0,1,167,11,32008
0,1,168,12,32008
0,1,169,8,32008
0,1,170,12,42008
0,1,171,16,42008
0,1,172,8,42008
0,1,173,9,42008
0,1,174,9,52008
0,1,175,13,52008
0,1,176,13,52008
0,1,177,12,52008
0,1,178,11,52008
0,1,179,9,62008
0,1,180,16,62008
0,1,181,9,62008
0,1,182,16,62008
0,1,183,8,72008
0,1,184,6,72008
0,1,185,8,72008
0,1,186,17,72008
0,1,187,9,82008
0,1,188,17,82008
0,1,189,13,82008
0,1,190,14,82008
0,1,191,10,82008
0,1,192,8,92008
0,1,193,17,92008
0,1,194,12,92008
0,1,195,19,92008
0,1,196,14,102008
0,1,197,14,102008
0,1,198,21,102008
0,1,199,16,102008
0,1,200,9,112008
0,1,201,17,112008
0,1,202,17,112008
0,1,203,19,112008
0,1,204,12,112008
0,1,205,14,122008
0,1,206,12,122008
0,1,207,9,122008
0,1,208,9,122008
0,1,209,16,12009
0,1,210,7,12009
0,1,211,5,12009
0,1,212,17,12009
0,1,213,9,12009
0,1,214,11,22009
0,1,215,7,22009
0,1,216,8,22009
0,1,217,5,22009
0,1,218,12,32009
0,1,219,10,32009
0,1,220,14,32009
0,1,221,13,32009
0,1,222,16,42009
0,1,223,9,42009
0,1,224,20,42009
0,1,225,12,42009
0,1,226,17,52009
0,1,227,11,52009
0,1,228,15,52009
0,1,229,21,52009
0,1,230,10,52009
0,1,231,12,62009
0,1,232,15,62009
0,1,233,16,62009
0,1,234,13,62009
0,1,235,7,72009
0,1,236,13,72009
0,1,237,11,72009
0,1,238,13,72009
0,1,239,25,82009
0,1,240,14,82009
0,1,241,20,82009
0,1,242,27,82009
0,1,243,19,82009
0,1,244,22,92009
0,1,245,14,92009
0,1,246,18,92009
0,1,247,30,92009
0,1,248,23,102009
0,1,249,22,102009
0,1,250,21,102009
0,1,251,23,102009
0,1,252,26,102009
0,1,253,14,112009
0,1,254,18,112009
0,1,255,21,112009
0,1,256,17,112009
0,1,257,19,122009
0,1,258,16,122009
0,1,259,8,122009
0,1,260,9,122009
0,1,261,13,12010
0,1,262,11,12010
0,1,263,12,12010
0,1,264,22,12010
0,1,265,18,12010
0,1,266,12,22010
0,1,267,13,22010
0,1,268,10,22010
0,1,269,8,22010
0,1,270,9,32010
0,1,271,20,32010
0,1,272,14,32010
0,1,273,13,32010
0,1,274,17,42010
0,1,275,10,42010
0,1,276,11,42010
0,1,277,13,42010
0,1,278,9,52010
0,1,279,21,52010
0,1,280,15,52010
0,1,281,17,52010
0,1,282,13,52010
0,1,283,20,62010
0,1,284,12,62010
0,1,285,14,62010
0,1,286,13,62010
0,1,287,9,72010
0,1,288,15,72010
0,1,289,8,72010
0,1,290,12,72010
0,1,291,23,72010
0,1,292,10,82010
0,1,293,13,82010
0,1,294,14,82010
0,1,295,26,82010
0,1,296,18,92010
0,1,297,18,92010
0,1,298,14,92010
0,1,299,21,92010
0,1,300,10,102010
0,1,301,11,102010
0,1,302,21,102010
0,1,303,15,102010
0,1,304,13,102010
0,1,305,20,112010
0,1,306,22,112010
0,1,307,19,112010
0,1,308,17,112010
0,1,309,13,122010
0,1,310,11,122010
0,1,311,11,122010
0,1,312,7,122010
